time,values
0.0000000000000000,0.0000000000000000
0.20000000949949026,0.19900333440680384
0.40000001899898052,0.39602655242885376
0.60000000521540642,0.59108933395964769
0.80000003799796104,0.78421125322941876
0.99999997764825821,0.97541148836374347
1.2000000104308128,1.1647093376229343
1.4000000432133675,1.3521236414759521
1.6000000759959221,1.5376731415160556
1.7999999225139618,1.7213762226215685
1.9999999552965164,1.9032515974370199
2.1999999880790710,2.0833172817141445
2.4000000208616257,2.2615912821778608
2.6000000536441803,2.4380914263831599
2.8000000864267349,2.6128353644978475
2.9999999329447746,2.7858404107482642
3.2000001519918442,2.9571243467634751
3.4000001847743988,3.1267038201118602
3.5999998450279236,3.2945956380450845
3.7999998778104782,3.4608172153428889
3.9999999105930328,3.6253848600178387
4.1999999433755875,3.7883150289774221
4.3999999761581421,3.9496240153801381
4.6000000089406967,4.1093279502648219
4.8000000417232513,4.2674428041637587
5.0000000745058060,4.4239843886997576
5.2000001072883606,4.5789683581673231
5.4000001400709152,4.7324102110980935
5.6000001728534698,4.8843252918107236
5.7999998331069946,5.0347285131954145
5.9999998658895493,5.1836354760062981
6.1999998986721039,5.3310607895176911
6.4000003039836884,5.4770194669006624
6.5999999642372131,5.6215252925879753
6.8000003695487976,5.7645937940047194
7.0000000298023224,5.9062382121219610
7.1999996900558472,6.0464732470917539
7.4000000953674316,6.1853134371244156
7.5999997556209564,6.3227716318613449
7.8000001609325409,6.4588626014463202
7.9999998211860657,6.5935989410807441
8.2000002264976501,6.7269951284399028
8.3999998867511749,6.8590635093234589
8.6000002920627594,6.9898182747294726
8.7999999523162842,7.1192715259943462
9.0000003576278687,7.2474371731154985
9.2000000178813934,7.3743270778067807
9.3999996781349182,7.4999544089661843
9.6000000834465027,7.6243321904187642
9.7999997437000275,7.7474719333118980
10.000000149011612,7.8693868692445506
10.199999809265137,7.9900882814280738
10.400000214576721,8.1095891394581709
10.599999874830246,8.2279005031235979
10.800000280141830,8.3450350852048114
10.999999940395355,8.4610037264920397
11.200000345706940,8.5758188880357764
11.400000005960464,8.6894911959641803
11.599999666213989,8.8020324474255851
11.800000071525574,8.9134543096070349
11.999999731779099,9.0237670945872761
12.200000137090683,9.1329826556843177
12.399999797344208,9.2411111007840248
12.600000202655792,9.3481640484929454
12.800000607967377,9.4541517994108268
12.999999523162842,9.5590841745355437
13.199999928474426,9.6629732308706462
13.400000333786011,9.7658285717238247
13.600000739097595,9.8676604827568717
13.799999654293060,9.9684783998807642
14.000000059604645,10.068293907337097
14.200000464916229,10.167116231882410
14.399999380111694,10.264954530554490
14.599999785423279,10.361820045228999
14.800000190734863,10.457721729970732
15.000000596046448,10.552669175067235
15.199999511241913,10.646671178503645
15.399999916553497,10.739738541355299
15.600000321865082,10.831879866593026
15.800000727176666,10.923104368463752
15.999999642372131,11.013420499978624
16.200000047683716,11.102838638696682
16.400000452995300,11.191367050261384
16.599999368190765,11.279013937859746
16.799999773502350,11.365789372347725
17.000000178813934,11.451701375082202
17.200000584125519,11.536758537370122
17.399999499320984,11.620968740746882
17.599999904632568,11.704341661184456
17.800000309944153,11.786885005517771
18.000000715255737,11.868607028183748
18.199999630451202,11.949515301678307
18.400000035762787,12.029619122573068
18.600000441074371,12.108925895513584
18.799999356269836,12.187442969194798
18.999999761581421,12.265179365433230
19.200000166893005,12.342142270034184
19.400000572204590,12.418339379383678
19.599999487400055,12.493777754030155
19.799999892711639,12.568466062039590
20.000000298023224,12.642411207457778
20.200000703334808,12.715620584891074
20.399999618530273,12.788100978039804
20.600000023841858,12.859860715090161
20.800000429153442,12.930906429376378
20.999999344348907,13.001244704110231
21.199999749660492,13.070883621342919
21.400000154972076,13.139829618364107
21.600000560283661,13.208089589859107
21.799999475479126,13.275669860908216
21.999999880790710,13.342578196660819
22.200000286102295,13.408820781996800
22.400000691413879,13.474404241256945
22.599999606609344,13.539334651511563
22.800000011920929,13.603619473434119
23.000000417232513,13.667264649391850
23.199999332427979,13.730276076850576
23.399999737739563,13.792660995987635
23.600000143051147,13.854425173546844
23.800000548362732,13.915574786022649
23.999999463558197,13.976115499637883
24.199999868869781,14.036054270678424
24.400000274181366,14.095396639770790
24.600000679492950,14.154148541225574
24.799999594688416,14.212315419089796
25.000000000000000,14.269903956889411
25.200000405311584,14.326919477999830
25.400000810623169,14.383367684043954
25.600001215934753,14.439254219912478
25.799998641014099,14.494583853957538
25.999999046325684,14.549363768197800
26.199999451637268,14.603598612076983
26.399999856948853,14.657293809146813
26.600000262260437,14.710454728993669
26.800000667572021,14.763086687775543
27.000001072883606,14.815194948753660
27.200001478195190,14.866784722818821
27.399998903274536,14.917860411714763
27.599999308586121,14.968428645280222
27.799999713897705,15.018493715492635
28.000000119209290,15.068060628921188
28.200000524520874,15.117134342318767
28.400000929832458,15.165719763117641
28.600001335144043,15.213821749920218
28.799998760223389,15.261444406885182
28.999999165534973,15.308593915633235
29.199999570846558,15.355274277977641
29.399999976158142,15.401490162012591
29.600000381469727,15.447246189383874
29.800000786781311,15.492546935751038
30.000001192092896,15.537396931244968
30.199998617172241,15.581800002557880
30.399999022483826,15.625761913394753
30.599999427795410,15.669286395021558
30.799999833106995,15.712377799940501
31.000000238418579,15.755040437345578
31.200000643730164,15.797278573553502
31.400001049041748,15.839096432430338
31.600001454353333,15.880498195813896
31.799998879432678,15.921487396186262
31.999999284744263,15.962069354117640
32.199999690055847,16.002247514000594
32.400000095367432,16.042025893701002
32.600000500679016,16.081408471106222
32.800000905990601,16.120399184522896
33.000001311302185,16.159001933070776
33.199998736381531,16.197220010414348
33.399999141693115,16.235058377420422
33.599999547004700,16.272520245619354
33.799999952316284,16.309609361244483
34.000000357627869,16.346329433253420
34.200000762939453,16.382684133698959
34.400001168251038,16.418677098096282
34.599998593330383,16.454311397437824
34.799998998641968,16.489591657205164
34.999999403953552,16.524520871809379
35.199999809265137,16.559102534215299
35.400000214576721,16.593340102632109
35.600000619888306,16.627237000859154
35.800001025199890,16.660796618628343
36.000001430511475,16.694022311943129
36.199998855590820,16.726916915686779
36.399999260902405,16.759484699716889
36.599999666213989,16.791728428223237
36.800000071525574,16.823651325618709
37.000000476837158,16.855256584232677
37.200000882148743,16.886547364630246
37.400001287460327,16.917526795928310
37.599998712539673,16.948197521354530
37.799999117851257,16.978563522097758
37.999999523162842,17.008627375471477
38.199999928474426,17.038392087898352
38.400000333786011,17.067860635886582
38.600000739097595,17.097035966327557
38.800001144409180,17.125920996790544
38.999998569488525,17.154518191804694
