1000.0            , 1.1912            , 37.623            ,          

1000.0            , 2.3570            , 37.180            ,          

1000.0            , 4.8407            , 37.432            ,          

1000.0            , 10.213            , 37.628            ,          

1000.0            , 22.923            , 38.460            ,          

1000.0            , 56.542            , 39.499            ,          

1000.0            , 134.63            , 52.090            ,          

1000.0            , 607.69            , 179.01            ,          

