100.00            , 4.8228            , .45834E-02        ,          

200.00            , .19907            , .27875E-01        ,          

300.00            , .20844            , .88431E-01        ,          

400.00            , .23793            , .20089            ,          

500.00            , .26743            , .38421            ,          

600.00            , .31580            , .69879            ,          

700.00            , .38411            , 1.0740            ,          

800.00            , .46599            , 1.5624            ,          

900.00            , .55231            , 2.2006            ,          

1000.0            , .73464            , 2.9861            ,          

1100.0            , .87611            , 4.0379            ,          

1200.0            , 1.2988            , 5.1849            ,          

1300.0            , 1.5111            , 6.5196            ,          

1400.0            , 1.8864            , 8.0666            ,          

1500.0            , 2.3104            , 9.8713            ,          

1600.0            , 2.8883            , 12.090            ,          

1700.0            , 3.3698            , 14.404            ,          

1800.0            , 3.9379            , 17.037            ,          

1900.0            , 4.6919            , 19.935            ,          

2000.0            , 5.7663            , 23.129            ,          

2100.0            , 6.5540            , 27.214            ,          

2200.0            , 7.4213            , 31.159            ,          

2300.0            , 8.4532            , 35.504            ,          

2400.0            , 10.072            , 40.296            ,          

2500.0            , 11.067            , 45.387            ,          

2600.0            , 12.814            , 51.205            ,          

2700.0            , 15.182            , 57.289            ,          

2800.0            , 20.132            , 63.727            ,          

2900.0            , 19.672            , 70.885            ,          

3000.0            , 26.559            , 78.581            ,          

